Community,count
3,1309
4,1078
7,908
8,821
2,730
9,690
5,665
1,648
14,480
0,389
10,367
20,347
15,339
13,316
17,295
21,191
22,182
19,158
41,131
6,108
18,105
25,90
65,34
67,25
91,17
96,13
30,11
92,10
33,8
44,8
27,8
42,7
101,6
58,6
80,6
39,6
40,5
36,5
70,5
81,4
95,4
97,4
104,4
110,4
16,4
99,4
26,4
23,3
85,3
83,3
89,3
94,3
102,3
57,3
63,3
79,3
73,3
108,3
109,3
45,3
43,3
46,3
11,3
68,3
111,3
47,2
37,2
34,2
35,2
38,2
29,2
31,2
24,2
28,2
12,2
32,2
52,2
54,2
55,2
48,2
78,2
77,2
76,2
75,2
72,2
74,2
69,2
71,2
64,2
66,2
53,2
56,2
59,2
60,2
61,2
62,2
51,2
50,2
49,2
88,2
82,2
84,2
86,2
87,2
93,2
90,2
98,2
100,2
103,2
107,2
105,2
106,2
